origin_id,dest_id,origin_lat,origin_long,dest_lat,dest_long,unidad,tipo_unidad,real_start,real_end,real_minutes,calculated_minutes,calculated_kms,carga
36889,35601,27.479,-99.6252,25.5021,-100.9677,34102,Thorton,2021-02-03 14:18:00,2021-02-03 19:49:00,331,331.20000000000005,285.36,0
35601,36889,25.5021,-100.9677,27.479,-99.6252,34102,Thorton,2021-02-03 19:49:00,2021-02-04 01:20:00,331,331.20000000000005,285.36,1
37726,35597,19.0712,-104.2896,20.721,-103.4845,35265,Thorton,2021-02-03 15:08:00,2021-02-03 20:55:00,347,347.20000000000005,293.45,1
35752,35753,18.0072,-93.5873,17.9877,-93.1538,21914,Thorton,2021-02-03 09:38:00,2021-02-03 10:59:00,81,81.60000000000001,56.15,1
35602,36889,22.0765,-100.8912,27.479,-99.6252,32416,Thorton,2021-02-03 02:19:00,2021-02-03 16:59:00,880,880.0,724.35,1
35601,36889,25.5021,-100.9677,27.479,-99.6252,29396,Thorton,2021-02-03 01:51:00,2021-02-03 07:22:00,331,331.20000000000005,285.36,1
34080,34231,20.2764,-98.9544,19.7091,-99.2037,17457,Thorton,2021-02-03 09:53:00,2021-02-03 12:09:00,136,136.0,105.8,1
34080,34231,20.2764,-98.9544,19.7091,-99.2037,18317,Thorton,2021-02-03 10:47:00,2021-02-03 13:03:00,136,136.0,105.8,1
34080,34231,20.2764,-98.9544,19.7091,-99.2037,17582,Thorton,2021-02-03 09:54:00,2021-02-03 12:10:00,136,136.0,105.8,1
34080,34231,20.2764,-98.9544,19.7091,-99.2037,17512,Thorton,2021-02-03 10:48:00,2021-02-03 13:04:00,136,136.0,105.8,1
34674,33703,19.654,-99.1891,19.5374,-98.8335,16788,Thorton,2021-02-03 13:48:00,2021-02-03 14:55:00,67,67.2,49.06,1
33703,33704,19.5374,-98.8335,20.6192,-103.3385,16788,Thorton,2021-02-03 14:55:00,2021-02-04 00:59:00,604,604.8000000000001,552.14,1
34007,34394,19.5954,-99.2112,17.127,-96.7676,23844,Thorton,2021-02-03 00:00:00,2021-02-03 09:23:00,563,563.2,484.32,1
33815,34780,21.0559,-100.4705,20.0367,-99.251,25672,Thorton,2021-02-03 13:12:00,2021-02-03 17:28:00,256,256.0,205.37,1
34780,35599,20.0367,-99.251,20.3687,-100.7933,25672,Thorton,2021-02-03 17:28:00,2021-02-03 21:47:00,259,259.2,211.62,0
35599,35596,20.3687,-100.7933,19.8885,-99.2431,25672,Thorton,2021-02-03 21:47:00,2021-02-04 02:12:00,265,265.6,221.49,1
34466,34462,18.4534,-97.3919,19.4808,-99.1953,17695,Thorton,2021-02-03 02:00:00,2021-02-03 07:39:00,339,339.20000000000005,278.89,1
35612,35596,20.3027,-99.8957,19.8885,-99.2431,21168,Thorton,2021-02-03 02:08:00,2021-02-03 04:27:00,139,139.20000000000002,111.46,1
35602,35581,22.0765,-100.8912,19.389,-98.9778,31789,Thorton,2021-02-03 07:08:00,2021-02-03 15:04:00,476,476.8,403.11,1
34657,34746,21.9911,-103.2344,28.6709,-106.0646,35413,Thorton,2021-02-03 04:00:00,2021-02-03 23:56:00,1196,1196.8,931.02,1
34657,35027,21.9911,-103.2344,19.4163,-99.1468,33646,Thorton,2021-02-03 04:00:00,2021-02-03 18:01:00,841,841.6,629.23,1
35248,35371,19.6115,-99.2182,19.4032,-102.0542,21522,Thorton,2021-02-03 04:11:00,2021-02-03 11:27:00,436,436.8,384.16,1
35130,35064,20.3008,-99.8961,14.678,-92.1549,24175,Thorton,2021-02-03 04:41:00,2021-02-04 05:51:00,1510,1510.4,1268.84,1
35130,35064,20.3008,-99.8961,14.678,-92.1549,20261,Thorton,2021-02-03 04:35:00,2021-02-04 05:45:00,1510,1510.4,1268.84,1
35130,35064,20.3008,-99.8961,14.678,-92.1549,20262,Thorton,2021-02-03 04:41:00,2021-02-04 05:51:00,1510,1510.4,1268.84,1
33925,34129,23.2139,-106.3961,25.8839,-100.2385,41346,Thorton,2021-02-03 06:00:00,2021-02-03 23:12:00,1032,1032.0,848.54,1
35599,36889,20.3687,-100.7933,27.479,-99.6252,21175,Thorton,2021-02-03 08:30:00,2021-02-04 04:01:00,1171,1171.2,966.48,1
35599,36889,20.3687,-100.7933,27.479,-99.6252,37815,Thorton,2021-02-03 08:30:00,2021-02-04 04:01:00,1171,1171.2,966.48,1
34136,34774,20.6184,-103.339,19.4664,-99.1437,19569,Thorton,2021-02-03 07:00:00,2021-02-03 16:44:00,584,584.0,532.6,1
33705,33733,19.7048,-99.2033,19.095,-98.1895,16436,Thorton,2021-02-03 07:52:00,2021-02-03 11:21:00,209,209.60000000000002,165.65,1
33705,34603,19.7048,-99.2033,19.0195,-98.265,16432,Thorton,2021-02-03 07:54:00,2021-02-03 11:25:00,211,211.20000000000002,168.23,1
35599,35598,20.3687,-100.7933,25.8813,-100.2399,31236,Thorton,2021-02-03 11:36:00,2021-02-04 03:36:00,960,960.0,778.63,1
35599,35596,20.3687,-100.7933,19.8885,-99.2431,31192,Thorton,2021-02-03 11:40:00,2021-02-03 16:05:00,265,265.6,221.49,1
35752,35753,18.0072,-93.5873,17.9877,-93.1538,21915,Thorton,2021-02-03 08:47:00,2021-02-03 10:08:00,81,81.60000000000001,56.15,1
35752,35753,18.0072,-93.5873,17.9877,-93.1538,21875,Thorton,2021-02-03 08:45:00,2021-02-03 10:06:00,81,81.60000000000001,56.15,1
35752,35753,18.0072,-93.5873,17.9877,-93.1538,21869,Thorton,2021-02-03 09:38:00,2021-02-03 10:59:00,81,81.60000000000001,56.15,1
39041,39053,19.6586,-99.1886,27.4013,-99.5439,44774,Thorton,2021-02-03 10:03:00,2021-02-04 07:07:00,1264,1264.0,1064.51,1
35248,35451,19.6115,-99.2182,28.6577,-106.1003,20068,Thorton,2021-02-03 10:16:00,2021-02-04 14:49:00,1713,1713.6000000000001,1408.69,1
33705,37570,19.7048,-99.2033,17.9878,-92.981,35983,Thorton,2021-02-03 11:17:00,2021-02-04 02:06:00,889,889.6,782.16,1
35248,35421,19.6115,-99.2182,19.8529,-90.5314,21521,Thorton,2021-02-03 11:19:00,2021-02-04 10:02:00,1363,1363.2,1167.45,1
35599,35596,20.3687,-100.7933,19.8885,-99.2431,44819,Thorton,2021-02-03 13:41:00,2021-02-03 18:06:00,265,265.6,221.49,1
35599,36889,20.3687,-100.7933,27.479,-99.6252,35522,Thorton,2021-02-03 17:12:00,2021-02-04 12:43:00,1171,1171.2,966.48,1
33705,33716,19.7048,-99.2033,25.8986,-100.2589,36141,Thorton,2021-02-03 11:57:00,2021-02-04 05:31:00,1054,1054.4,877.39,1
34136,34142,20.6184,-103.339,25.68,-100.4832,41314,Thorton,2021-02-03 12:00:00,2021-02-04 04:06:00,966,966.4000000000001,761.57,1
35602,36889,22.0765,-100.8912,27.479,-99.6252,37885,Thorton,2021-02-03 12:32:00,2021-02-04 03:12:00,880,880.0,724.35,1
35602,35596,22.0765,-100.8912,19.8885,-99.2431,26411,Thorton,2021-02-03 12:47:00,2021-02-03 19:49:00,422,422.40000000000003,347.49,1
35601,36889,25.5021,-100.9677,27.479,-99.6252,23271,Thorton,2021-02-03 15:09:00,2021-02-03 20:40:00,331,331.20000000000005,285.36,1
33815,34837,21.0559,-100.4705,20.3607,-102.0479,38015,Thorton,2021-02-03 13:12:00,2021-02-03 18:32:00,320,320.0,250.96,1
34837,35599,20.3607,-102.0479,20.3687,-100.7933,38015,Thorton,2021-02-03 18:32:00,2021-02-03 22:17:00,225,225.60000000000002,170.21,0
35599,35597,20.3687,-100.7933,20.721,-103.4845,38015,Thorton,2021-02-03 22:17:00,2021-02-04 05:29:00,432,432.0,343.22,1
34231,38041,19.7091,-99.2037,20.9022,-89.7266,24172,Thorton,2021-02-03 13:43:00,2021-02-04 15:30:00,1547,1547.2,1330.4,1
34674,33703,19.654,-99.1891,19.5374,-98.8335,27453,Thorton,2021-02-03 13:51:00,2021-02-03 14:58:00,67,67.2,49.06,1
33703,33704,19.5374,-98.8335,20.6192,-103.3385,27453,Thorton,2021-02-03 14:58:00,2021-02-04 01:02:00,604,604.8000000000001,552.14,1
35598,35565,25.8813,-100.2399,25.7024,-100.323,20867,Thorton,2021-02-03 13:48:00,2021-02-03 14:29:00,41,41.6,23.2,1
35565,35601,25.7024,-100.323,25.5021,-100.9677,20867,Thorton,2021-02-03 14:29:00,2021-02-03 16:11:00,102,102.4,79.83,0
35601,35596,25.5021,-100.9677,19.8885,-99.2431,20867,Thorton,2021-02-03 16:11:00,2021-02-04 08:23:00,972,972.8000000000001,794.79,1
35029,34709,25.6488,-100.3031,21.1213,-86.8492,30044,Thorton,2021-02-03 13:49:00,2021-02-05 11:29:00,2740,2740.8,2262.41,1
34575,34585,20.6779,-103.3355,19.1788,-96.1763,41442,Thorton,2021-02-03 14:53:00,2021-02-04 07:28:00,995,995.2,898.19,1
37726,35597,19.0712,-104.2896,20.721,-103.4845,31286,Thorton,2021-02-03 21:58:00,2021-02-04 03:45:00,347,347.20000000000005,293.45,1
