"VIAJEID","UBICACIONORIGENID","UBICACION_ORIGEN","DESC_UBICACION_ORI","LOCALIDAD_ORI","LATITUD_ORI","LONGITUD_ORI","UBICACIONDESTINOID","UBICACION_DESTINO","DESC_UBICACION_DEST","LOCALIDAD_DEST","LATITUD_DEST","LONGITUD_DEST","DEMORAINICIO","DURACIONVIAJE","HORARIOINICIOID","HI_COMPLETO","TIEMPOINICIOID","HORARIOINICIOREALID","HR_COMPLETO","TIEMPOINICIOREALID","HORARIOFINID","HF_COMPLETO","TIEMPOFINID","UNIDADID","TIPOUNIDADID","TIPOUNIDAD"
201144,37018,"PARQUE INDUSTRIAL MIRAGE","MIRAGE / PQUE IND / GDL.","TLAJOMULCO",20.4616,-103.5171,37028,"INDEPENDECIA  ","MIRAGE / LUIS EDUARDO / TUXPAN","TUXPAN",21.9441,-105.2997,16,0,63001,"5:30:00 p.m.",20210205,63961,"5:46:00 p.m.",20210205,-1,"",0,32188,18,"Thorton"
206437,37018,"PARQUE INDUSTRIAL MIRAGE","MIRAGE / PQUE IND / GDL.","TLAJOMULCO",20.4616,-103.5171,37048,"TORRES QUINTERO","MIRAGE / CARLOS CAMACHO / COLIMA","COLIMA",0,0,0,1158,63001,"5:30:00 p.m.",20210216,62161,"5:16:00 p.m.",20210216,45241,"12:34:00 p.m.",20210217,32176,18,"Thorton"
204696,37018,"PARQUE INDUSTRIAL MIRAGE","MIRAGE / PQUE IND / GDL.","TLAJOMULCO",20.4616,-103.5171,37042,"VIA RAPIDA OTE. ","MIRAGE / MI CLIMA /  TIJUANA","TIJUANA",0,0,79,4298,63001,"5:30:00 p.m.",20210212,67741,"6:49:00 p.m.",20210212,66421,"6:27:00 p.m.",20210215,26942,24,"Trailer"
206460,37018,"PARQUE INDUSTRIAL MIRAGE","MIRAGE / PQUE IND / GDL.","TLAJOMULCO",20.4616,-103.5171,37123,"","MIRAGE / REPARTO","",0,0,0,3091,63001,"5:30:00 p.m.",20210216,62521,"5:22:00 p.m.",20210216,75181,"8:53:00 p.m.",20210218,28353,24,"Trailer"
208401,36563,"1RA DE TLALNEPANTLA","TMC/ 1RA DE TLALNEPANTLA/ TULTITLAN","LA CONEPCION,  TULTITLAN",19.6371,-99.1835,37659,"","TMC/ REPARTO","",0,0,14,2523,63001,"5:30:00 p.m.",20210219,63841,"5:44:00 p.m.",20210219,42421,"11:47:00 a.m.",20210221,26561,24,"Trailer"
203223,34464,"MARGARITA MAZA DE JUAREZ ","PROMOTORA 1800/ PENSION VALLEJO/ CDMX","VALLEJO",19.5067,-99.1546,38091,"MEXICO-CUAUTLA","PROMOTORA 1800/ WALMART CEDIS/ CHALCO","CHALCO DE COVARRUBIAS",19.2497,-98.8683,0,861,63001,"5:30:00 p.m.",20210210,63001,"5:30:00 p.m.",20210210,28261,"7:51:00 a.m.",20210211,26431,13,"Pipa"
206855,34464,"MARGARITA MAZA DE JUAREZ ","PROMOTORA 1800/ PENSION VALLEJO/ CDMX","VALLEJO",19.5067,-99.1546,38091,"MEXICO-CUAUTLA","PROMOTORA 1800/ WALMART CEDIS/ CHALCO","CHALCO DE COVARRUBIAS",19.2497,-98.8683,1,560,63001,"5:30:00 p.m.",20210217,63061,"5:31:00 p.m.",20210217,10261,"2:51:00 a.m.",20210218,26431,13,"Pipa"
210590,34464,"MARGARITA MAZA DE JUAREZ ","PROMOTORA 1800/ PENSION VALLEJO/ CDMX","VALLEJO",19.5067,-99.1546,38091,"MEXICO-CUAUTLA","PROMOTORA 1800/ WALMART CEDIS/ CHALCO","CHALCO DE COVARRUBIAS",19.2497,-98.8683,0,520,63001,"5:30:00 p.m.",20210224,63001,"5:30:00 p.m.",20210224,7801,"2:10:00 a.m.",20210225,26431,13,"Pipa"
211135,34462,"CENTEOTL","PROMOTORA 1800/ PLANTA/ CIUDAD DE MEXICO","AZCAPOTZALCO",19.4808,-99.1953,34464,"MARGARITA MAZA DE JUAREZ ","PROMOTORA 1800/ PENSION VALLEJO/ CDMX","VALLEJO",19.5067,-99.1546,0,109,63001,"5:30:00 p.m.",20210225,43921,"12:12:00 p.m.",20210225,50461,"2:01:00 p.m.",20210225,19383,13,"Pipa"
211138,34464,"MARGARITA MAZA DE JUAREZ ","PROMOTORA 1800/ PENSION VALLEJO/ CDMX","VALLEJO",19.5067,-99.1546,35047,"DE LA LUZ","PROMOTORA 1800/ PORTEO WALMART/ CUAUTITLAN","CUAUTITLAN IZCALLI",19.6979,-99.2011,0,1429,63001,"5:30:00 p.m.",20210225,62221,"5:17:00 p.m.",20210225,61561,"5:06:00 p.m.",20210226,19383,13,"Pipa"
